melbourne,144.956776,-37.817403000000006,1444,19,0.013157894736842105
east melbourne,144.98220700000002,-37.818517,164,3,0.018292682926829267
west melbourne,144.949592,-37.810871,304,9,0.029605263157894735
south wharf,144.9520744,-37.82528675,18,0,0.0
southbank,144.965926,-37.823258,328,9,0.027439024390243903
docklands,144.948039,-37.814719000000004,286,2,0.006993006993006993
footscray,144.907953,-37.807101,315,8,0.025396825396825397
seddon,144.907953,-37.807101,33,1,0.030303030303030304
brooklyn,144.861162,-37.807134999999995,121,3,0.024793388429752067
kingsville,144.861162,-37.807134999999995,39,2,0.05128205128205128
maidstone,144.861162,-37.807134999999995,108,3,0.027777777777777776
tottenham,144.861162,-37.807134999999995,8,0,0.0
west footscray,144.861162,-37.807134999999995,96,1,0.010416666666666666
yarraville,144.888686,-37.814183,144,3,0.020833333333333332
newport,144.880556,-37.838242,65,2,0.03076923076923077
south kingsville,144.880556,-37.838242,9,1,0.1111111111111111
spotswood,144.880556,-37.838242,99,3,0.030303030303030304
williamstown,144.888461,-37.863743,85,3,0.03529411764705882
williamstown north,144.888461,-37.863743,15,1,0.06666666666666667
altona,144.812736,-37.86172,113,4,0.035398230088495575
seaholme,144.812736,-37.86172,7,0,0.0
braybrook,144.85401399999998,-37.784683,114,9,0.07894736842105263
albion,144.829945,-37.777204,39,4,0.10256410256410256
sunshine,144.829945,-37.777204,194,5,0.02577319587628866
sunshine north,144.829945,-37.777204,184,4,0.021739130434782608
sunshine west,144.829945,-37.777204,141,4,0.028368794326241134
albanvale,144.796693,-37.743361,24,0,0.0
kealba,144.796693,-37.743361,11,1,0.09090909090909091
kings park,144.796693,-37.743361,39,4,0.10256410256410256
st albans,144.796693,-37.743361,359,6,0.016713091922005572
ardeer,144.79396100000002,-37.795937,58,3,0.05172413793103448
burnside,144.77064099999998,-37.78272,23,2,0.08695652173913043
burnside heights,144.755657,-37.73218752,21,0,0.0
cairnlea,144.77064099999998,-37.78272,70,1,0.014285714285714285
caroline springs,144.77064099999998,-37.78272,146,11,0.07534246575342465
deer park,144.77064099999998,-37.78272,180,5,0.027777777777777776
ravenhall,144.77064099999998,-37.78272,93,1,0.010752688172043012
fieldstone,144.649936,-37.75045631,2,0,0.0
mambourin,144.556552,-37.899873,5,0,0.0
manor lakes,144.5812323,-37.86694209,20,0,0.0
mount cottrell,144.556552,-37.899873,19,3,0.15789473684210525
wyndham vale,144.556552,-37.899873,68,4,0.058823529411764705
altona north,144.839704,-37.835562,236,1,0.00423728813559322
laverton north,144.774986,-37.829923,196,5,0.025510204081632654
williams landing,144.7430155,-37.86199812,54,2,0.037037037037037035
altona meadows,144.777165,-37.875066,117,3,0.02564102564102564
laverton,144.777165,-37.875066,84,1,0.011904761904761904
seabrook,144.777165,-37.875066,18,0,0.0
hoppers crossing,144.70583100000002,-37.837165,303,9,0.0297029702970297
tarneit,144.70583100000002,-37.837165,184,8,0.043478260869565216
truganina,144.70583100000002,-37.837165,225,14,0.06222222222222222
cocoroc,144.64209,-37.91624,9,1,0.1111111111111111
derrimut,144.64209,-37.91624,119,1,0.008403361344537815
point cook,144.64209,-37.91624,207,8,0.03864734299516908
quandong,144.64209,-37.91624,2,0,0.0
werribee,144.64209,-37.91624,362,11,0.03038674033149171
werribee south,144.64209,-37.91624,67,3,0.04477611940298507
flemington,144.923403,-37.79119,88,2,0.022727272727272728
kensington,144.923403,-37.79119,97,0,0.0
ascot vale,144.897221,-37.774485999999996,141,3,0.02127659574468085
maribyrnong,144.897221,-37.774485999999996,130,0,0.0
travancore,144.897221,-37.774485999999996,32,0,0.0
keilor east,144.85763799999998,-37.74107,171,5,0.029239766081871343
avondale heights,144.86194,-37.761235,59,3,0.05084745762711865
keilor,144.82246,-37.705324,77,1,0.012987012987012988
keilor north,144.82246,-37.705324,13,0,0.0
calder park,144.780474,-37.715579,9,1,0.1111111111111111
delahey,144.780474,-37.715579,57,0,0.0
hillside,144.780474,-37.715579,65,3,0.046153846153846156
plumpton,144.780474,-37.715579,25,0,0.0
sydenham,144.780474,-37.715579,52,2,0.038461538461538464
taylors hill,144.780474,-37.715579,25,0,0.0
keilor downs,144.766873,-37.700454,65,3,0.046153846153846156
keilor lodge,144.766873,-37.700454,20,0,0.0
taylors lakes,144.766873,-37.700454,119,0,0.0
moonee ponds,144.922995,-37.766184,173,5,0.028901734104046242
aberfeldie,144.902556,-37.751845,21,0,0.0
essendon,144.902556,-37.751845,238,1,0.004201680672268907
essendon west,144.902556,-37.751845,9,0,0.0
essendon fields,144.9011039,-37.72674618,7,0,0.0
essendon north,144.90481499999999,-37.731464,49,2,0.04081632653061224
strathmore,144.90481499999999,-37.731464,82,0,0.0
strathmore heights,144.90481499999999,-37.731464,12,1,0.08333333333333333
airport west,144.866305,-37.727529,122,1,0.00819672131147541
keilor park,144.866305,-37.727529,77,1,0.012987012987012988
niddrie,144.866305,-37.727529,53,1,0.018867924528301886
gladstone park,144.88836799999999,-37.691916,76,1,0.013157894736842105
gowanbrae,144.88836799999999,-37.691916,24,1,0.041666666666666664
tullamarine,144.88836799999999,-37.691916,227,5,0.022026431718061675
pascoe vale,144.93635600000002,-37.731138,153,6,0.0392156862745098
pascoe vale south,144.93635600000002,-37.731138,140,2,0.014285714285714285
melbourne airport,144.836195,-37.674739,88,1,0.011363636363636364
glenroy,144.927968,-37.706578,219,3,0.0136986301369863
hadfield,144.927968,-37.706578,65,0,0.0
oak park,144.927968,-37.706578,42,1,0.023809523809523808
broadmeadows,144.930247,-37.681105,295,3,0.010169491525423728
